wallet_id,score
0xf54f36bca969800fd7d63a68029561309938c09b,750.1203784171767
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,750.1186753858046
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,750.1088263223331
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,750.1061455933414
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,750.1022126342014
0x8d900f213db5205c529aaba5d10e71a0ed2646db,750.0942994136685
0x19df3e87f73c4aaf4809295561465b993e102668,750.0677998822852
0x4839e666e2baf12a51bf004392b35972eeddeabf,750.0570213099039
0x22d7510588d90ed5a87e0f838391aaafa707c34b,742.070669639678
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,738.0388208413173
0x612a3500559be7be7703de6dc397afb541a16f7f,734.0855569474572
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,725.1016735580654
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,709.0303801518309
0x06b51c6882b27cb05e712185531c1f74996dd988,700.0528777117156
0x4c4d05fe859279c91b074429b5fc451182cec745,690.0577435644956
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,688.0614492935852
0x9e6ec4e98793970a1307262ba68d37594e58cd78,685.1732815798246
0x54e19653be9d4143b08994906be0e27555e8834d,683.0418067286948
0x623af911f493747c216ad389c7805a37019c662d,675.1485628540466
0x1ab2ccad4fc97c9968ea87d4435326715be32872,675.0905947609817
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,672.0332125685494
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,669.0310493128942
0x330513970efd9e8dd606275fb4c50378989b3204,650.1316697507033
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,650.0893801800571
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,635.0787931617713
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,635.0212632410667
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,635.0136350250957
0xf60304b534f74977e159b2e159e135475c245526,635.0096437382858
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,633.0320209718519
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,630.0734783868352
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,601.0625893715721
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,600.1929451681983
0xb57297c5d02def954794e593db93d0a302e43e5c,600.1627326230268
